j_reset_real 0 00100000 B               reset; Branch
sub_10A0B0 11 0010a14c LDR             R0, [R3,#0x18]; Load from Memory
sub_10A0B0 12 0010a168 CMP             R5, #1; Set cond. codes on Op1 - Op2
sub_10A0B0 13 0010a174 MOV             R0, #0x126; Rd = Op2
sub_10A0B0 14 0010a178 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10A0B0 15 0010a180 ADD             R0, R9, #0x28; Rd = Op1 + Op2
sub_10A0B0 16 0010a194 LDMFD           SP!, {R4-R9}; Load Block from Memory
sub_10A0B0 17 0010a1a0 ADD             R6, R0, R12; Rd = Op1 + Op2
sub_10A0B0 18 0010a1b0 CMP             R12, #0x280; Set cond. codes on Op1 - Op2
sub_10A0B0 19 0010a1b8 CMP             R8, #0x800; Set cond. codes on Op1 - Op2
sub_10A0B0 20 0010a1c8 ADD             R3, R8, R12; Rd = Op1 + Op2
sub_10A0B0 21 0010a1dc MOV             R0, #0x119; Rd = Op2
sub_10A0B0 22 0010a1e8 STR             R7, [R2,#0]; Store to Memory
sub_10A0B0 23 0010a21c CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_10A0B0 24 0010a228 LDR             R0, [R1,#0x24]; Load from Memory
sub_10A0B0 25 0010a238 LDR             R4, [R1,#0x14]; Load from Memory
sub_10A0B0 26 0010a248 LDR             R8, [R1,#0x1C]; Load from Memory
sub_10A0B0 27 0010a258 ANDS            R4, R0, #3; Rd = Op1 & Op2
sub_10A0B0 28 0010a27c MOV             R0, #0x111; Rd = Op2
sub_10A0B0 29 0010a280 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10A0B0 30 0010a288 LDR             R8, [R1,#0x1C]; Load from Memory
sub_10A0B0 31 0010a2a4 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_10A0B0 32 0010a2ac ADD             R0, R6, R8; Rd = Op1 + Op2
sub_10A0B0 33 0010a2c0 STR             R0, [R2,#0x24]; Store to Memory
sub_10A0B0 34 0010a2d4 LDR             R0, [R1,#0x14]; Load from Memory
sub_10A0B0 35 0010a2e4 LDRH            R0, [R7,#0x2C]; Load from Memory
sub_10A0B0 36 0010a2f8 CMP             R3, #0; Set cond. codes on Op1 - Op2
sub_10A0B0 37 0010a308 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_10A0B0 38 0010a314 LDR             R7, [R3,#0x18]; Load from Memory
sub_10A0B0 39 0010a324 ADD             R3, R3, #0x20; Rd = Op1 + Op2
sub_10A0B0 40 0010a330 MOV             R3, R6; Rd = Op2
sub_10A0B0 41 0010a334 CMP             R3, #0; Set cond. codes on Op1 - Op2
sub_10A0B0 42 0010a33c ADD             R1, R5, R12; Rd = Op1 + Op2
sub_10A35C 0 0010a35c STMFD           SP!, {R4-R11,LR}; Store Block to Memory
sub_10A35C 1 0010a37c LDR             R1, [R5,#0x18]; Load from Memory
sub_10A35C 2 0010a390 MOV             R4, #1; Rd = Op2
sub_10A35C 3 0010a3e8 LDR             R0, [R5,#4]; Load from Memory
sub_10A35C 4 0010a3fc LDR             R0, [R5,#4]; Load from Memory
sub_10A35C 5 0010a410 MOV             R1, #8; Rd = Op2
sub_10A35C 6 0010a43c MOV             R1, #0x20; Rd = Op2
sub_10A35C 7 0010a464 B               loc_10A48C; Branch
sub_10A35C 8 0010a468 MOV             R0, #0x102; Rd = Op2
sub_10A35C 9 0010a46c ADD             SP, SP, #0x54; Rd = Op1 + Op2
sub_10A35C 10 0010a474 MOV             R2, #0x20; Rd = Op2
sub_10A35C 11 0010a48c MOV             R7, R0; Rd = Op2
sub_10A35C 12 0010a49c MOVS            R0, R7; Rd = Op2
sub_10A35C 13 0010a4a8 B               loc_10A4B0; Branch
sub_10A35C 14 0010a4ac MOV             R0, #0; Rd = Op2
sub_10A35C 15 0010a4b0 LDR             R1, [R5,#8]; Load from Memory
sub_10A35C 16 0010a4c4 ADD             SP, SP, #0x54; Rd = Op1 + Op2
sub_10A35C 17 0010f0d4 B               loc_10F0D4; Branch
sub_10A4EC 0 0010a4ec LDRB            R1, [R0,#0]; Load from Memory
sub_10A4EC 1 0010a500 LDRB            R1, [R0,#2]; Load from Memory
sub_10A4EC 2 0010a514 MOV             R0, #0x112; Rd = Op2
sub_10A4EC 3 0010a518 BX              LR; Branch to/from Thumb mode
sub_10A4EC 4 0010a51c LDRB            R1, [R0,#4]; Load from Memory
sub_10A4EC 5 0010a52c LDRB            R1, [R0,#6]; Load from Memory
sub_10A4EC 6 0010a53c LDRH            R1, [R0,#0x28]; Load from Memory
sub_10A4EC 7 0010a54c LDRH            R1, [R0,#0x2A]; Load from Memory
sub_10A4EC 8 0010a55c LDRH            R0, [R0,#0x2C]; Load from Memory
inner_inner_inner_auth 0 0010a5c0 STMFD           SP!, {R0-R12,LR}; Store Block to Memory
inner_inner_inner_auth 1 0010a5e4 CMP             R5, #0; Set cond. codes on Op1 - Op2
inner_inner_inner_auth 2 0010a5f4 LDR             R0, [R5,#4]; Load from Memory
inner_inner_inner_auth 3 0010a608 CMP             R6, #0; Set cond. codes on Op1 - Op2
inner_inner_inner_auth 4 0010a614 MOV             R2, #0x58; Rd = Op2
inner_inner_inner_auth 5 0010a66c B               loc_10A678; Branch
inner_inner_inner_auth 6 0010a670 MOV             R4, #0x102; Rd = Op2
inner_inner_inner_auth 7 0010a678 LDRB            R1, [R0,#2]; Load from Memory
inner_inner_inner_auth 8 0010a68c MOV             R4, #0x112; Rd = Op2
inner_inner_inner_auth 9 0010a690 CMP             R4, #0; Set cond. codes on Op1 - Op2
inner_inner_inner_auth 10 0010a698 B               loc_10A6F0; Branch
inner_inner_inner_auth 11 0010a69c LDRB            R1, [R0,#4]; Load from Memory
inner_inner_inner_auth 12 0010a6ac LDRB            R1, [R0,#6]; Load from Memory
inner_inner_inner_auth 13 0010a6bc LDRH            R1, [R0,#0x28]; Load from Memory
inner_inner_inner_auth 14 0010a6cc LDRH            R1, [R0,#0x2A]; Load from Memory
inner_inner_inner_auth 15 0010a6dc LDRH            R1, [R0,#0x2C]; Load from Memory
inner_inner_inner_auth 16 0010a6f0 LDRH            R10, [R0,#0x2C]; Load from Memory
inner_inner_inner_auth 17 0010a708 LDR             R0, [R1,#0]; Load from Memory
inner_inner_inner_auth 18 0010a714 LDR             R0, [R1,#0x18]; Load from Memory
inner_inner_inner_auth 19 0010a720 UBFX            R2, R0, #0x18, #3; Unsigned Bit Field Extract
inner_inner_inner_auth 20 0010a72c UBFX            R0, R0, #0x15, #3; Unsigned Bit Field Extract
inner_inner_inner_auth 21 0010a744 LDR             R0, [R1,#0x14]; Load from Memory
inner_inner_inner_auth 22 0010a754 MOV             R4, #0x11E; Rd = Op2
inner_inner_inner_auth 23 0010a760 LDR             R9, [R6,#0]; Load from Memory
inner_inner_inner_auth 24 0010a774 LDR             R11, [R2,R0,LSL#3]; Load from Memory
inner_inner_inner_auth 25 0010a780 ADD             R11, R12, R0,LSL#3; Rd = Op1 + Op2
inner_inner_inner_auth 26 0010a790 ADD             R0, R0, #1; Rd = Op1 + Op2
inner_inner_inner_auth 27 0010a79c MOV             R4, #0x11D; Rd = Op2
inner_inner_inner_auth 28 0010a7a8 ADD             R3, R3, #1; Rd = Op1 + Op2
inner_inner_inner_auth 29 0010a7b8 MOV             R4, #0; Rd = Op2
inner_inner_inner_auth 30 0010a7bc CMP             R4, #0; Set cond. codes on Op1 - Op2
inner_inner_inner_auth 31 0010a7c4 LDR             R0, [SP,#0]; Load from Memory
inner_inner_inner_auth 32 0010a7dc LDR             R0, [SP,#0]; Load from Memory
inner_inner_inner_auth 33 0010a7f4 LDR             R0, [SP,#0]; Load from Memory
inner_inner_inner_auth 34 0010a80c LDR             R10, [R8,#0]; Load from Memory
inner_inner_inner_auth 35 0010a82c LDR             R2, [R0,#0]; Load from Memory
inner_inner_inner_auth 36 0010a838 LDR             R2, [R0,#0x18]; Load from Memory
inner_inner_inner_auth 37 0010a844 UBFX            R3, R2, #0x18, #3; Unsigned Bit Field Extract
inner_inner_inner_auth 38 0010a850 UBFX            R2, R2, #0x15, #3; Unsigned Bit Field Extract
inner_inner_inner_auth 39 0010a868 MOV             R2, #8; Rd = Op2
inner_inner_inner_auth 40 0010a890 CMP             R2, R12; Set cond. codes on Op1 - Op2
inner_inner_inner_auth 41 0010a898 ADD             R2, R2, R4; Rd = Op1 + Op2
inner_inner_inner_auth 42 0010a8a4 CMP             R3, #0; Set cond. codes on Op1 - Op2
inner_inner_inner_auth 43 0010a8ac ADD             R1, R1, #1; Rd = Op1 + Op2
inner_inner_inner_auth 44 0010a8bc MOV             R4, #0x123; Rd = Op2
inner_inner_inner_auth 45 0010a8c0 CMP             R4, #0; Set cond. codes on Op1 - Op2
inner_inner_inner_auth 46 0010a8c8 MOV             R2, #0x3C; Rd = Op2
inner_inner_inner_auth 47 0010a8f8 CMP             R7, #0; Set cond. codes on Op1 - Op2
inner_inner_inner_auth 48 0010a900 LDR             R0, =dword_8004128; Load from Memory
inner_inner_inner_auth 49 0010a90c ADD             SP, SP, #0x10; Rd = Op1 + Op2
inner_inner_inner_auth 50 0010a918 MOV             R4, #0; Rd = Op2
inner_inner_inner_auth 51 0010a920 MOV             R0, #2; Rd = Op2
sub_10A934 0 0010a934 STMFD           SP!, {R4-R7,LR}; Store Block to Memory
sub_10A934 1 0010a960 LDR             R0, =sub_100AA0; Load from Memory
sub_10A934 2 0010a9a4 ADD             R1, SP, #0x10; Rd = Op1 + Op2
sub_10A934 3 0010a9b8 ADD             R1, SP, #0x254; Rd = Op1 + Op2
sub_10A934 4 0010a9cc ADD             R1, SP, #0x258; Rd = Op1 + Op2
sub_10A934 5 0010a9e0 LDR             R0, [R4,#0xC]; Load from Memory
sub_10A934 6 0010aa4c MOV             R5, R0; Rd = Op2
sub_10A934 7 0010aa5c ADD             R0, SP, #0x10; Rd = Op1 + Op2
sub_10A934 8 0010aa6c MOV             R5, R0; Rd = Op2
sub_10A934 9 0010aa70 ADD             SP, SP, #0x284; Rd = Op1 + Op2
sub_10A934 10 0010aa7c LDR             R0, =dword_10F75C; Load from Memory
sub_10A934 11 0010aaac LDR             R1, [R4,#4]; Load from Memory
sub_10A934 12 0010aae4 MOV             R2, #0x20; Rd = Op2
sub_10A934 13 0010aafc MOV             R5, R0; Rd = Op2
sub_10A934 14 0010ab0c B               loc_10AA70; Branch
sub_10A934 15 0010f0d4 B               loc_10F0D4; Branch
sub_10AB30 0 0010ab30 STMFD           SP!, {R4-R11,LR}; Store Block to Memory
sub_10AB30 1 0010ab50 LDR             R1, =0x50425342; Load from Memory
sub_10AB30 2 0010ab64 MOV             R2, #0; Rd = Op2
sub_10AB30 3 0010ab78 MOV             R0, #2; Rd = Op2
sub_10AB30 4 0010ab7c ADD             SP, SP, #0x400; Rd = Op1 + Op2
sub_10AB30 5 0010ab88 CMP             R7, #0; Set cond. codes on Op1 - Op2
sub_10AB30 6 0010ab9c LDR             R1, [R7,#4]; Load from Memory
sub_10AB30 7 0010abac LDR             R0, [R7,#8]; Load from Memory
sub_10AB30 8 0010abb8 LDR             R1, [R7,#0xC]; Load from Memory
sub_10AB30 9 0010abc8 LDR             R0, [R7,#0x10]; Load from Memory
sub_10AB30 10 0010abd4 LDR             R1, [R7,#0x14]; Load from Memory
sub_10AB30 11 0010abe4 CMP             R1, #0xD800; Set cond. codes on Op1 - Op2
sub_10AB30 12 0010abec LDR             R0, [R7,#0x18]; Load from Memory
sub_10AB30 13 0010abf8 LDR             R1, [R7,#0x1C]; Load from Memory
sub_10AB30 14 0010ac08 CMP             R1, #0x200; Set cond. codes on Op1 - Op2
sub_10AB30 15 0010ac10 MOV             R2, #0; Rd = Op2
sub_10AB30 16 0010ac2c MOV             R2, #0x50; Rd = Op2
sub_10AB30 17 0010ac8c LDR             R0, [R4,#0x68]; Load from Memory
sub_10AB30 18 0010ac98 MOV             R5, #0; Rd = Op2
sub_10AB30 19 0010acb8 MOV             R2, #0x20; Rd = Op2
sub_10AB30 20 0010acc8 ADD             R2, R6, #0x20; Rd = Op1 + Op2
sub_10AB30 21 0010ace0 MOV             R0, R4; Rd = Op2
sub_10AB30 22 0010acf0 MOV             R1, R6; Rd = Op2
sub_10AB30 23 0010ad04 MOV             R0, R4; Rd = Op2
sub_10AB30 24 0010ad10 STR             R1, [R0,#0x28]!; Store to Memory
sub_10AB30 25 0010ad20 MOV             R5, #7; Rd = Op2
sub_10AB30 26 0010ad24 MOVS            R0, R5; Rd = Op2
sub_10AB30 27 0010ad2c B               loc_10ADC0; Branch
sub_10AB30 28 0010ad30 ADD             R1, R6, #0x28; Rd = Op1 + Op2
sub_10AB30 29 0010ad44 MOV             R0, R4; Rd = Op2
sub_10AB30 30 0010ad54 ADD             R0, R6, #0x2C; Rd = Op1 + Op2
sub_10AB30 31 0010ad64 MOV             R0, R4; Rd = Op2
sub_10AB30 32 0010ad74 ADD             R3, R6, #0x3C; Rd = Op1 + Op2
sub_10AB30 33 0010ad90 LDR             R1, [SP,#0x3D8]; Load from Memory
sub_10AB30 34 0010adb0 MOV             R2, #0x40; Rd = Op2
sub_10AB30 35 0010adc0 LDR             R0, [SP,#0x3D4]; Load from Memory
sub_10AB30 36 0010adec LDR             R2, [R7,#0x14]; Load from Memory
sub_10AB30 37 0010ae14 LDR             R0, [R7,#0x20]; Load from Memory
sub_10AB30 38 0010ae24 CMP             R1, R0,LSR#16; Set cond. codes on Op1 - Op2
sub_10AB30 39 0010ae34 LDR             R2, [SP,#0x3EC]; Load from Memory
sub_10AB30 40 0010ae4c ADD             SP, SP, #0x400; Rd = Op1 + Op2
sub_10AB30 41 0010ae5c CMP             R1, R0; Set cond. codes on Op1 - Op2
sub_10AB30 42 0010ae64 MOV             R2, R1; Rd = Op2
sub_10AB30 43 0010ae84 LDR             R1, [SP,#0x3EC]; Load from Memory
sub_10AB30 44 0010ae9c LDR             R1, [SP,#0x3E8]; Load from Memory
sub_10AB30 45 0010aec8 LDR             R0, [R7,#0x14]; Load from Memory
sub_10AB30 46 0010aeec CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_10AB30 47 0010aef4 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_10AB30 48 0010aefc LDR             R0, [SP,#0x408]; Load from Memory
sub_10AB30 49 0010af0c CMP             R8, #0; Set cond. codes on Op1 - Op2
sub_10AB30 50 0010af14 LDR             R0, [R8,#0x384]; Load from Memory
sub_10AB30 51 0010af24 MOV             R0, #2; Rd = Op2
sub_10AB30 52 0010af38 STR             R9, [SP,#0x14]; Store to Memory
sub_10AB30 53 0010af54 LDR             R2, [R11,#8]; Load from Memory
sub_10AB30 54 0010af74 MOVS            R0, R4; Rd = Op2
sub_10AB30 55 0010af80 STR             R1, [R0,#0x24]; Store to Memory
sub_10AB30 56 0010af90 MOV             R0, #2; Rd = Op2
sub_10AB30 57 0010af98 RSB             R0, R6, R6,LSL#4; Rd = Op2 - Op1
sub_10AB30 58 0010afb0 LDR             R0, [SP,#0x14]; Load from Memory
sub_10AB30 59 0010afbc RSB             R0, R6, R6,LSL#4; Rd = Op2 - Op1
sub_10AB30 60 0010b000 LDR             R2, [SP,#0x10]; Load from Memory
sub_10AB30 61 0010b020 RSB             R0, R6, R6,LSL#4; Rd = Op2 - Op1
sub_10AB30 62 0010b03c CMP             R1, #3; Set cond. codes on Op1 - Op2
sub_10AB30 63 0010b048 RSB             R1, R6, R6,LSL#4; Rd = Op2 - Op1
sub_10AB30 64 0010b078 STR             R1, [SP,#0x10]; Store to Memory
sub_10AB30 65 0010b08c LDR             R1, [SP,#0x40C]; Load from Memory
sub_10AB30 66 0010b0b4 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10AB30 67 0010b0bc ADD             R5, SP, #0x18; Rd = Op1 + Op2
sub_10AB30 68 0010b0d8 LDR             R0, [SP,#0x3C8]; Load from Memory
sub_10AB30 69 0010b0e4 LDR             R1, [SP,#0x3F0]; Load from Memory
sub_10AB30 70 0010b104 LDR             R0, [SP,#0x3F0]; Load from Memory
sub_10AB30 71 0010b11c STR             R2, [R4,#0x30]; Store to Memory
sub_10AB30 72 0010b128 ADD             SP, SP, #0x400; Rd = Op1 + Op2
sub_10AB30 73 0010b138 LDR             R0, [SP,#0x3F8]; Load from Memory
sub_10AB30 74 0010b174 LDR             R1, [SP,#0x3E8]; Load from Memory
sub_10AB30 75 0010b1ac EOR             R3, R1, #2; Rd = Op1 ^ Op2
sub_10AB30 76 0010b1c0 MOV             R0, R1; Rd = Op2
sub_10AB30 77 0010b1d8 STR             R2, [R4,#0x30]; Store to Memory
sub_10AB30 78 0010b1e4 ADD             SP, SP, #0x400; Rd = Op1 + Op2
sub_10AB30 79 0010b1f4 EOR             R3, R1, #3; Rd = Op1 ^ Op2
sub_10AB30 80 0010b200 LDR             R2, [SP,#0x3E4]; Load from Memory
sub_10AB30 81 0010b210 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_10AB30 82 0010b224 STR             R3, [R4,#0x24]!; Store to Memory
sub_10AB30 83 0010b238 STR             R1, [R10,#0x18]; Store to Memory
sub_10AB30 84 0010b254 MOV             R0, R1; Rd = Op2
sub_10AB30 85 0010b26c STR             R2, [R4,#0x30]; Store to Memory
sub_10AB30 86 0010b278 ADD             SP, SP, #0x400; Rd = Op1 + Op2
sub_10AB30 87 0010b288 EOR             R3, R1, #1; Rd = Op1 ^ Op2
sub_10AB30 88 0010b294 LDR             R2, [SP,#0x404]; Load from Memory
sub_10AB30 89 0010b2a4 CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_10AB30 90 0010b2b8 STR             R3, [R4,#0x24]!; Store to Memory
sub_10AB30 91 0010b2cc STR             R1, [R10,#0x48]; Store to Memory
sub_10B2E4 0 0010b2e4 STMFD           SP!, {R3-R7,LR}; Store Block to Memory
sub_10B2E4 1 0010b304 CMP             R6, R0; Set cond. codes on Op1 - Op2
sub_10B2E4 2 0010b31c MOV             R0, #1; Rd = Op2
sub_10B2E4 3 0010b324 MOV             R2, #1; Rd = Op2
sub_10B2E4 4 0010b33c CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_10B2E4 5 0010b34c LDMFD           SP!, {R3-R7,PC}; Load Block from Memory
sub_10B2E4 6 0010b350 ADD             R0, R4, #1; Rd = Op1 + Op2
sub_10B2E4 7 0010b360 B               loc_10B31C; Branch
sub_10B368 0 0010b368 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10B368 1 0010b374 STMFD           SP!, {R4,LR}; Store Block to Memory
sub_10B38C 0 0010b38c CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10B38C 1 0010b398 LDR             R1, =sub_10B958; Load from Memory
sub_10B38C 2 0010b3bc BX              LR; Branch to/from Thumb mode
sub_10B3D0 0 0010b3d0 STMFD           SP!, {R4-R11,LR}; Store Block to Memory
sub_10B3D0 1 0010b410 LDR             R0, [R4,#0]; Load from Memory
sub_10B3D0 2 0010b424 LDR             R1, =sub_100CA8; Load from Memory
sub_10B3D0 3 0010b434 MOV             R2, #0xD8; Rd = Op2
sub_10B3D0 4 0010b450 MOV             R1, R11; Rd = Op2
sub_10B3D0 5 0010b468 MOV             R11, #1; Rd = Op2
sub_10B3D0 6 0010b494 LDR             R3, [R4,#0x10]; Load from Memory
sub_10B3D0 7 0010b4a8 B               loc_10B4C8; Branch
sub_10B3D0 8 0010b4ac LDR             R12, [R4,#0x18]; Load from Memory
sub_10B3D0 9 0010b4c4 B               loc_10B504; Branch
sub_10B3D0 10 0010b4c8 STR             R5, [SP,#0xE0]; Store to Memory
sub_10B3D0 11 0010b4ec LDR             R2, [R4,#0x14]; Load from Memory
sub_10B3D0 12 0010b504 LDR             R1, [R4,#0xC]; Load from Memory
sub_10B3D0 13 0010b51c MOV             R5, #6; Rd = Op2
sub_10B3D0 14 0010b520 LDR             R0, [R4,#4]; Load from Memory
sub_10B3D0 15 0010b534 ADD             SP, SP, #0xFC; Rd = Op1 + Op2
sub_10B540 0 0010b540 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10B540 1 0010b54c LDR             R1, =sub_10B59C; Load from Memory
sub_10B540 2 0010b580 BX              LR; Branch to/from Thumb mode
sub_10B59C 0 0010b59c STMFD           SP!, {R4-R7,LR}; Store Block to Memory
sub_10B59C 1 0010b5c4 MOV             R7, #0xA6000; Rd = Op2
sub_10B59C 2 0010b600 LDR             R1, =(loc_10D434+2); Load from Memory
sub_10B59C 3 0010b618 LDR             R0, [R5,#0x30]; Load from Memory
sub_10B59C 4 0010b630 STR             R0, [SP,#0]; Store to Memory
sub_10B59C 5 0010b64c ADD             SP, SP, #0xC; Rd = Op1 + Op2
sub_10B59C 6 0010b654 LDR             R0, [R7,#0x80]; Load from Memory
sub_10B660 0 0010b660 STMFD           SP!, {R3-R7,LR}; Store Block to Memory
sub_10B660 1 0010b688 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_10B660 2 0010b694 MOV             R2, #0xA6000; Rd = Op2
sub_10B660 3 0010b6b0 LDR             R1, [R2,#0x1C]; Load from Memory
sub_10B660 4 0010b6c8 MOV             R0, R4; Rd = Op2
sub_10B660 5 0010b6d8 LDR             R1, [R4,#0]; Load from Memory
sub_10B660 6 0010b6e8 MOV             R1, #1; Rd = Op2
sub_10B660 7 0010b6fc EOR             R2, R1, R1,LSR#4; Rd = Op1 ^ Op2
sub_10B660 8 0010b714 STR             R7, [R4,#0]; Store to Memory
sub_10B660 9 0010b720 LDMFD           SP!, {R3-R7,PC}; Load Block from Memory
sub_10B660 10 0010b724 MOV             R0, #2; Rd = Op2
sub_10B660 11 0010b72c STR             R7, [R6,#0]; Store to Memory
